-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 05/01/2025 through 05/03/2026 in LST
Location: latitude  31.44   longitude 74.27 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 209.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_MAX,PRECTOTCORR
2025,5,1,5.599,42.23,0.12
2025,5,2,4.4148,34.66,10.7
2025,5,3,6.1366,34.41,0.05
2025,5,4,4.5139,37.14,0.3
2025,5,5,3.8359,32.87,1.31
2025,5,6,5.8344,38.13,0.0
2025,5,7,5.2848,36.11,0.55
2025,5,8,4.0356,36.17,4.41
2025,5,9,5.8217,35.35,7.04
2025,5,10,6.5047,39.0,0.01
2025,5,11,6.6146,41.58,0.0
2025,5,12,6.8962,40.76,1.62
2025,5,13,6.7618,41.65,0.0
2025,5,14,7.2091,44.06,0.0
2025,5,15,7.2072,45.39,0.0
2025,5,16,7.2322,45.75,0.07
2025,5,17,6.9521,45.21,0.0
2025,5,18,6.9653,47.27,0.0
2025,5,19,6.3058,45.47,0.07
2025,5,20,6.8878,46.25,0.0
2025,5,21,6.7656,47.93,0.04
2025,5,22,7.2053,45.84,0.01
2025,5,23,7.0783,43.76,0.0
2025,5,24,6.4236,43.13,2.76
2025,5,25,7.0598,38.15,4.69
2025,5,26,7.4887,41.57,0.0
2025,5,27,6.2393,42.72,0.0
2025,5,28,6.4025,44.77,0.0
2025,5,29,6.7258,45.21,0.01
2025,5,30,6.7402,43.4,0.88
2025,5,31,6.3403,42.81,1.18
2025,6,1,7.32,41.39,0.72
2025,6,2,7.2365,41.27,0.0
2025,6,3,5.8236,40.02,1.79
2025,6,4,6.8659,39.35,0.57
